"ID"	"scientificName"	"authorship"	"rank"	"genus"	"infragenericEpithet"	"specificEpithet"	"infraspecificEpithet"	"cultivarEpithet"	"appendedPhrase"	"publishedInID"	"publishedInPage"	"publishedInYear"	"original"	"code"	"status"	"link"	"remarks"
COL500-cb0f7d86959a	Brachystomella		genus	Brachystomella													
COL500-e8d41cd008f1	Cryptorhopalum		genus	Cryptorhopalum													
COL500-697785349827	Oncholaimus		genus	Oncholaimus													
COL500-80bfc243bafa	Hydrocanthus		genus	Hydrocanthus													
COL500-676bb606c9cf	Nabicula		genus	Nabicula													
COL500-fb8381c0ce3a	Nabis		genus	Nabis													
COL500-4af549da1f5f	Pagasa		genus	Pagasa													
COL500-44746cde0915	Aradus		genus	Aradus													
COL500-4105b64e7e60	Hypogastrura		genus	Hypogastrura													
COL500-db484cd06f32	Sigara		genus	Sigara													
COL500-f4048fee1b03	Notonecta		genus	Notonecta													
COL500-e4d04e85ed18	Limnocoris		genus	Limnocoris													
COL500-4d6b7360e7e9	Cryphocricos		genus	Cryphocricos													
COL500-3759ef37b951	Pelocoris		genus	Pelocoris													
COL500-bbf659b667be	Ambrysus		genus	Ambrysus													
COL500-ad46d31ccdfe	Oudemansia		genus	Oudemansia													
COL500-793e77d5f0e0	Lethocerus		genus	Lethocerus													
COL500-9f77d29789a6	Abedus		genus	Abedus													
COL500-380c139f6964	Ceratocombus		genus	Ceratocombus													
COL500-5853726415b0	Schizoptera		genus	Schizoptera													
COL500-c2065a180ba1	Elatophilus		genus	Elatophilus													
COL500-f3e1d5e5fa43	Lasiochilus		genus	Lasiochilus													
COL500-25356a83b573	Lyctocoris		genus	Lyctocoris													
COL500-06d1b217fbf6	Xylocoris		genus	Xylocoris													
COL500-553532be93d7	Phymata		genus	Phymata													
COL500-13e37f4e23a7	Atrachelus		genus	Atrachelus													
COL500-8bc4c776c98a	Zelus		genus	Zelus													
COL500-68e718505f81	Aneurus		genus	Aneurus													
COL500-f170748b4ef5	Friesea		genus	Friesea													
COL500-fe41b4bc2ed8	Xenylla		genus	Xenylla													
COL500-1429fe3efbc9	Chlorochroa		genus	Chlorochroa													
COL500-955018ef8740	Euschistus		genus	Euschistus													
COL500-708d557c0ddf	Proxius		genus	Proxius													
COL500-c166b55d6b2a	Dysdercus		genus	Dysdercus													
COL500-ae6924effa36	Cyrtomenus		genus	Cyrtomenus													
COL500-0b53f7559f31	Dallasiellus		genus	Dallasiellus													
COL500-bb84d93a8d19	Pangaeus		genus	Pangaeus													
COL500-496f2d3522ef	Rhytidoporus		genus	Rhytidoporus													
COL500-896eb29501bb	Apateticus		genus	Apateticus													
COL500-a7264a790fa5	Oplomus		genus	Oplomus													
COL500-360e0fc4856f	Podisus		genus	Podisus													
COL500-dd97da04452e	Stiretrus		genus	Stiretrus													
COL500-b02214d02985	Acrosternum		genus	Acrosternum													
COL500-c302825331c5	Chlorocoris		genus	Chlorocoris													
COL500-a6fc4ee803f7	Codophila		genus	Codophila													
COL500-f921c4b7eeab	Corimelaena		genus	Corimelaena													
COL500-7ffc6a436ede	Mormidea		genus	Mormidea													
COL500-2bf9bb475891	Neottiglossa		genus	Neottiglossa													
COL500-6cd82e3227e2	Cydnoides		genus	Cydnoides													
COL500-c93cb5ab5319	Galgupha		genus	Galgupha													
COL500-2f397591cf9f	Odontella		genus	Odontella													
COL500-9f4e9730dad1	Dryops		genus	Dryops													
COL500-4bd8577623ae	Telephanus		genus	Telephanus													
COL500-14a83c6b37a5	Ptinus		genus	Ptinus													
COL500-d94cfdfe89c0	Dermestes		genus	Dermestes													
COL500-dffa10f4f6bd	Pseudachorutes		genus	Pseudachorutes													
COL500-f5964359628a	Willemia		genus	Willemia													
COL500-25d2127d12fb	Tafallia		genus	Tafallia													
COL500-38e941002655	Apiomerus		genus	Apiomerus													
COL500-8e0fc748b479	Acanthephyra		genus	Acanthephyra													
COL500-88e49306df55	Atypopenaeus		genus	Atypopenaeus													
COL500-5a39413de74f	Octhispa		genus	Octhispa													
COL500-de42111000f4	Pasiphaea		genus	Pasiphaea													
COL500-4dfbefdc304a	Ploiaria		genus	Ploiaria													
COL500-9aadbd121a43	Rhiginia		genus	Rhiginia													
COL500-c54dd4880a45	Emesa		genus	Emesa													
