"ID"	"parentID"	"nameID"	"provisional"	"accordingTo"	"accordingToID"	"accordingToDate"	"referenceID"	"extinct"	"temporalRangeStart"	"temporalRangeEnd"	"lifezone"	"link"	"remarks"	"section"	"subgenus"	"genus"	"subtribe"	"tribe"	"subfamily"	"family"	"superfamily"	"suborder"	"order"	"subclass"	"class"	"subpyhlum"	"phylum"	"kingdom"
COL500-cb0f7d86959a		COL500-cb0f7d86959a	0					0								Brachystomella				Brachystomellidae	Neanuroidea		Collembola		Entognatha		Arthropoda	Animalia
COL500-e8d41cd008f1		COL500-e8d41cd008f1	0					0								Cryptorhopalum				Dermestidae	Bostrichoidea		Coleoptera		Insecta		Arthropoda	Animalia
COL500-697785349827		COL500-697785349827	0					0								Oncholaimus				Oncholaimidae			Enoplida		Adenophorea		Nematoda	Animalia
COL500-80bfc243bafa		COL500-80bfc243bafa	0					0								Hydrocanthus				Noteridae			Coleoptera		Insecta		Arthropoda	Animalia
COL500-676bb606c9cf		COL500-676bb606c9cf	0					0								Nabicula				Nabidae	Cimicoidea		Hemiptera		Insecta		Arthropoda	Animalia
COL500-fb8381c0ce3a		COL500-fb8381c0ce3a	0					0								Nabis				Nabidae	Cimicoidea		Hemiptera		Insecta		Arthropoda	Animalia
COL500-4af549da1f5f		COL500-4af549da1f5f	0					0								Pagasa				Nabidae	Cimicoidea		Hemiptera		Insecta		Arthropoda	Animalia
COL500-44746cde0915		COL500-44746cde0915	0					0								Aradus				Aradidae	Aradoidea		Hemiptera		Insecta		Arthropoda	Animalia
COL500-4105b64e7e60		COL500-4105b64e7e60	0					0								Hypogastrura				Hypogastruridae	Hypogastruroidea		Collembola		Entognatha		Arthropoda	Animalia
COL500-db484cd06f32		COL500-db484cd06f32	0					0								Sigara				Corixidae	Corixoidea		Hemiptera		Insecta		Arthropoda	Animalia
COL500-f4048fee1b03		COL500-f4048fee1b03	0					0								Notonecta				Notonectidae	Notonectoidea		Hemiptera		Insecta		Arthropoda	Animalia
COL500-e4d04e85ed18		COL500-e4d04e85ed18	0					0								Limnocoris				Naucoridae	Naucoroidea		Hemiptera		Insecta		Arthropoda	Animalia
COL500-4d6b7360e7e9		COL500-4d6b7360e7e9	0					0								Cryphocricos				Naucoridae	Naucoroidea		Hemiptera		Insecta		Arthropoda	Animalia
COL500-3759ef37b951		COL500-3759ef37b951	0					0								Pelocoris				Naucoridae	Naucoroidea		Hemiptera		Insecta		Arthropoda	Animalia
COL500-bbf659b667be		COL500-bbf659b667be	0					0								Ambrysus				Naucoridae	Naucoroidea		Hemiptera		Insecta		Arthropoda	Animalia
COL500-ad46d31ccdfe		COL500-ad46d31ccdfe	0					0								Oudemansia				Neanuridae	Neanuroidea		Collembola		Entognatha		Arthropoda	Animalia
COL500-793e77d5f0e0		COL500-793e77d5f0e0	0					0								Lethocerus				Belostomatidae	Nepoidea		Hemiptera		Insecta		Arthropoda	Animalia
